produto,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link
Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Não Informado,1,10,4.9,,2390.0,https://http2.mlstatic.com/D_Q_NP_2X_994631-MLA99592093086_122025-E.webp,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-windows-11-home-intel-core-i3-8gb-256gb-ssd-156-full-hd-led-155-kg-grafite/p/MLB37044201#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4375274367&sid=search
Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,Não Informado,2,10,4.7,1999.0,1499.0,https://http2.mlstatic.com/D_Q_NP_2X_951532-MLA99906431389_112025-E.webp,https://www.mercadolivre.com.br/notebook-positivo-vision-c15-lumina-bar-celeron-4gb-128gb-emmc-tela-15-hd-antirreflexo-windows-11-tecla-link-cinza/p/MLB26133662#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB3932069010&sid=search
Notebook Aspire Go 15 Ag15-71p-5405 Ci5 16gb 512gb Ssd Led Linux Acer,Não Informado,3,1000,4.9,,4932.0,https://http2.mlstatic.com/D_Q_NP_2X_702840-MLA99396320340_112025-E.webp,https://www.mercadolivre.com.br/notebook-aspire-go-15-ag15-71p-5405-ci5-16gb-512gb-ssd-led-linux-acer/p/MLB52935778#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4322380279&sid=search
"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",Não Informado,4,5,4.9,5399.0,2580.0,https://http2.mlstatic.com/D_Q_NP_2X_721783-MLA99507462046_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504fa-amd-ryzen-5-7520u-16gb-ram-512gb-ssd-linux-keepos-tela-156-led-fhd-black-nj1288/p/MLB43417665#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB3914161563&sid=search
"Notebook Asus Vivobook Go 15 E1504 Amd Ryzen 5 7520u 8gb Ram 256gb Ssd Linux Keepos 15,6 Fhd Black E1504fa-nj731",Não Informado,5,10,4.8,,2999.0,https://http2.mlstatic.com/D_Q_NP_2X_830301-MLA99949667885_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504-amd-ryzen-5-7520u-8gb-ram-256gb-ssd-linux-keepos-156-fhd-black-e1504fa-nj731/p/MLB36772633#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB6079950178&sid=search
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 1tb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver Nj2247",Não Informado,6,1000,4.9,6199.0,2847.0,https://http2.mlstatic.com/D_Q_NP_2X_785135-MLA99932608095_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-16gb-ram-1tb-ssd-linux-keepos-intel-iris-xe-tela-156-led-fhd-silver-nj2247/p/MLB48954255#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4230614629&sid=search
Notebook Acer Aspire Go 15 Ag15-51p-55ll Intel Core I5-1334u 15.3 8gb 256gb Ssd Windows 11 Home,Não Informado,7,1000,4.9,4342.0,2848.0,https://http2.mlstatic.com/D_Q_NP_2X_717474-MLA99531627236_122025-E.webp,https://www.mercadolivre.com.br/notebook-acer-aspire-go-15-ag15-51p-55ll-intel-core-i5-1334u-153-8gb-256gb-ssd-windows-11-home/p/MLB58365219#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4232422345&sid=search
"Notebook Samsung Galaxy Book Go, Windows 11 Home, Snapdragon® 7c, 4gb, 128gb Ufs, 14'' Full Hd Led, 1.38kg",Não Informado,8,1000,4.9,2799.0,1923.0,https://http2.mlstatic.com/D_Q_NP_2X_836653-MLA99501554916_112025-E.webp,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book-go-windows-11-home-snapdragon-7c-4gb-128gb-ufs-14-full-hd-led-138kg/p/MLB51558385#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4234214419&sid=search
Notebook Lenovo Ideapad Slim 3 83mms00100 512gb 8gb + Ubook,Não Informado,9,500,4.9,6000.0,3099.0,https://http2.mlstatic.com/D_Q_NP_2X_611758-MLB100386637021_122025-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-slim-3-83mms00100-512gb-8gb--ubook/up/MLBU3607212552#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB5958148650&sid=search
Notebook Inspiron I15-i1300-a80p I7 16gb 1tb W11 Preto Dell,Não Informado,10,1000,4.8,5398.0,4806.0,https://http2.mlstatic.com/D_Q_NP_2X_601734-MLA99992564339_112025-E.webp,https://www.mercadolivre.com.br/notebook-inspiron-i15-i1300-a80p-i7-16gb-1tb-w11-preto-dell/p/MLB52641588#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4132228593&sid=search
Notebook Hp 256r G9 Intel Core I5-1334u 15.6 Hd Intel Uhd 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - Bq9l1at#ak4,Não Informado,11,1000,4.9,4088.0,2909.0,https://http2.mlstatic.com/D_Q_NP_2X_721400-MLA99459722130_112025-E.webp,https://www.mercadolivre.com.br/notebook-hp-256r-g9-intel-core-i5-1334u-156-hd-intel-uhd-256gb-ssd-8gb-ram-windows-11-home-64-sl-bq9l1atak4/p/MLB53191648#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB5529060128&sid=search
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 128gb Emmc Tela 14 Polegadas Hd Antirreflexo Windows 11 Tecla Link Cinza,Não Informado,12,100,4.8,2599.0,1399.0,https://http2.mlstatic.com/D_Q_NP_2X_622088-MLA99728699895_112025-E.webp,https://www.mercadolivre.com.br/notebook-positivo-vision-c14-lumina-bar-celeron-8gb-128gb-emmc-tela-14-polegadas-hd-antirreflexo-windows-11-tecla-link-cinza/p/MLB56724643#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB5743998010&sid=search
Notebook Acer Gamer Nitro V15 Core I7 13ª Ger. 32gb 512ssd Rtx4060 8gb Nvidia Geforce Tela 165hz Full Hd Linux Anv15-52-76np,Não Informado,13,500,5.0,11499.0,6649.0,https://http2.mlstatic.com/D_Q_NP_2X_657474-MLA99983321729_112025-E.webp,https://www.mercadolivre.com.br/notebook-acer-gamer-nitro-v15-core-i7-13-ger-32gb-512ssd-rtx4060-8gb-nvidia-geforce-tela-165hz-full-hd-linux-anv15-52-76np/p/MLB60126575#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4277743429&sid=search
Notebook Lenovo Yoga Slim 7i Intel Core Ultra 5 125h 16gb Ram 512gb Ssd Windows 11 Home Tela 14 83gm0003br,Não Informado,14,1000,4.9,,5249.0,https://http2.mlstatic.com/D_Q_NP_2X_627295-MLA99960420323_112025-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-yoga-slim-7i-intel-core-ultra-5-125h-16gb-ram-512gb-ssd-windows-11-home-tela-14-83gm0003br/p/MLB42265058#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4369448765&sid=search
"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",Não Informado,15,1000,4.8,4299.0,1957.0,https://http2.mlstatic.com/D_Q_NP_2X_660134-MLA99992082589_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504ga-intel-core-i3-n305-4gb-ram-128gb-ssd-windows-11-tela-156-fhd-silver-nj440w/p/MLB36361419#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4648799558&sid=search
Apple Macbook Air Macbook Air M4 Mw0w3bz/a Midnight Blue 13.6 2560 Px X 1664 Px Apple M4 Apple Macbook Air Apple M4 Macbook Air M4 16gb De Ram,Não Informado,16,100,4.9,,7399.0,https://http2.mlstatic.com/D_Q_NP_2X_746036-MLA96101661953_102025-E.webp,https://www.mercadolivre.com.br/apple-macbook-air-macbook-air-m4-mw0w3bza-midnight-blue-136-2560-px-x-1664-px-apple-m4-apple-macbook-air-apple-m4-macbook-air-m4-16gb-de-ram/p/MLB56936165#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB6076998272&sid=search
Notebook Lenovo Intel Core I5 8350u 8gb Ddr4 Ssd M.2 256gb - Aceitável (Recondicionado),Não Informado,17,5,4.7,,1749.0,https://http2.mlstatic.com/D_Q_NP_2X_828058-MLA54983297923_052023-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-intel-core-i5-8350u-8gb-ddr4-ssd-m2-256gb-aceitavel-recondicionado/p/MLB2010654537#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB5387764416&sid=search
"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Não Informado,18,1000,4.8,3570.0,2123.0,https://http2.mlstatic.com/D_Q_NP_2X_646372-MLA99977506045_112025-E.webp,https://www.mercadolivre.com.br/notebook-positivo-vision-r15-lumina-bar-amd-ryzen-5-8gb-256gb-tela-15-polegadas-full-hd-antirreflexo-linux-preto/p/MLB43281003#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4302853409&sid=search
Notebook Dell Inspiron 15.6 Full Hd 13ª Intel Core I5 16gb 512gb Ssd Win 11 Preto I15-i1300-m50p,Não Informado,19,1000,4.8,,5159.0,https://http2.mlstatic.com/D_Q_NP_2X_673667-MLA99456495960_112025-E.webp,https://www.mercadolivre.com.br/notebook-dell-inspiron-156-full-hd-13-intel-core-i5-16gb-512gb-ssd-win-11-preto-i15-i1300-m50p/p/MLB35963107#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB3871416515&sid=search
"Notebook Asus Vivobook Go 15 E1504, Amd Ryzen 5 7520u 2,8 Ghz, 8gb Ram, 256gb Ssd, Windows 11 Home, Tela 15,6 Fhd, Black - E1504fa-nj825w",Não Informado,20,1000,4.9,3299.0,2199.0,https://http2.mlstatic.com/D_Q_NP_2X_874571-MLA99984971829_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504-amd-ryzen-5-7520u-28-ghz-8gb-ram-256gb-ssd-windows-11-home-tela-156-fhd-black-e1504fa-nj825w/p/MLB29126536#polycard_client=search_best-seller&tracking_id=dcc69dcf-d7bb-4ceb-bec1-7a9f53d78e60&wid=MLB4181689213&sid=search
