produto,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link
"Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b 30 Cm Preto 220v Prata Polipropileno 6",Não Informado,1,100,4.7,172.0,123.0,https://http2.mlstatic.com/D_Q_NP_2X_679216-MLA99937072481_112025-E.webp,https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b/p/MLB18932157#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB3324201635&sid=search
"Ventilador De Teto Ventisol Fênix Com 3 Pás De Plástico Branco Estrutura Branco/silver, 96cm De Diâmetro",Não Informado,2,5,4.5,,229.0,https://http2.mlstatic.com/D_Q_NP_2X_895160-MLA99468179418_112025-E.webp,https://www.mercadolivre.com.br/ventilador-de-teto-ventisol-fnix-com-3-pas-de-plastico-branco-estrutura-brancosilver-96cm-de-dimetro/p/MLB16051918#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB2735030722&sid=search
Ventilador Oscilante De Coluna Ventisol Turbo 6 Pás 50cm Preto,Não Informado,3,50,4.6,,231.0,https://http2.mlstatic.com/D_Q_NP_2X_943360-MLA100001035423_112025-E.webp,https://www.mercadolivre.com.br/ventilador-oscilante-de-coluna-ventisol-turbo-6-pas-50cm-preto/p/MLB14434776#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB6080255188&sid=search
Ferro De Passar Roupa A Vapor E A Seco Electrolux Efficient Com Vapor Vertical Esi10,Não Informado,4,50,4.8,153.0,99.0,https://http2.mlstatic.com/D_Q_NP_2X_858372-MLA99523996184_122025-E.webp,https://www.mercadolivre.com.br/ferro-de-passar-roupa-a-vapor-e-a-seco-electrolux-efficient-com-vapor-vertical-esi10/p/MLB19723843#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB3614840053&sid=search
Sanduicheira Master Grill 750w S-20 Preto/inox Mondial Cor Preto,Não Informado,5,10,4.8,154.0,94.0,https://http2.mlstatic.com/D_Q_NP_2X_890867-MLA99972140577_112025-E.webp,https://www.mercadolivre.com.br/sanduicheira-master-grill-750w-s-20-pretoinox-mondial-cor-preto/p/MLB22517436#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB4309475388&sid=search
Máquina De Lavar Bwk13ab 13kg Branca Brastemp Cor Branco 127v,Não Informado,6,10,4.8,2199.0,1911.0,https://http2.mlstatic.com/D_Q_NP_2X_789879-MLA99416606856_112025-E.webp,https://www.mercadolivre.com.br/maquina-de-lavar-bwk13ab-13kg-branca-brastemp-cor-branco/p/MLB27592682#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB4148593028&sid=search
10 Lâmpada Led Halopin G9 7w Lustres Pendente Cor Da Luz Branco-quente Amarelo,GOLDENSKY,7,5,4.8,,56.0,https://http2.mlstatic.com/D_Q_NP_2X_643419-MLA96125681247_102025-E.webp,https://www.mercadolivre.com.br/10-lmpada-led-halopin-g9-7w-lustres-pendente-cor-da-luz-branco-quente-amarelo/p/MLB27765907#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB5508634104&sid=search
Liquidificador Easy Power Mondial 550w - L-550-r Vermelho 127v,Não Informado,8,10,4.7,144.0,99.0,https://http2.mlstatic.com/D_Q_NP_2X_925848-MLA99910287097_112025-E.webp,https://www.mercadolivre.com.br/liquidificador-easy-power-mondial-550w-l-550-r/p/MLB18997753#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB3393573829&sid=search
Kit 5 Lâmpada Bolinha Led 3w G45 E27 Bulbo Lustre Espelho Luz Vermelho,RY,9,50,4.8,34.0,21.0,https://http2.mlstatic.com/D_Q_NP_2X_660106-MLA99590619350_122025-E.webp,https://www.mercadolivre.com.br/kit-5-lmpada-bolinha-led-3w-g45-e27-bulbo-lustre-espelho-luz-vermelho/p/MLB46513789#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB5303049140&sid=search
Grill Sanduicheira Cadence San400 Elétrica Chapa Misteira Tostex Tostequeira Hambúrguer Click,Não Informado,10,100,4.9,161.0,113.0,https://http2.mlstatic.com/D_Q_NP_2X_934834-MLA99525616894_122025-E.webp,https://www.mercadolivre.com.br/grill-sanduicheira-cadence-san400-eletrica-chapa-misteira-tostex-tostequeira-hamburguer-click/p/MLB25850957#polycard_client=search_best-seller&tracking_id=af4032d3-29c3-4edc-adb7-28e9e001fbb6&wid=MLB3605137523&sid=search
