produto,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link
"Whey Protein Concentrado - 1,8 Kg Dux Nutrition Sabor Without Flavor Sem Sabor",DUX NUTRITION,1,1000,4.9,,292.0,https://http2.mlstatic.com/D_Q_NP_2X_681157-MLA99581905080_122025-E.webp,https://www.mercadolivre.com.br/whey-protein-concentrado-18-kg-dux-nutrition-sabor-without-flavor/p/MLB18510408#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB5181763618&sid=search
Tênis New Balance 373v2 - Adulto Black/white Liso 7.5 Us,NEW BALANCE,2,50,4.7,534.0,353.0,https://http2.mlstatic.com/D_Q_NP_2X_620892-MLA99849263049_112025-E.webp,https://www.mercadolivre.com.br/tnis-new-balance-373v2-adulto/p/MLB18999356#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB5273815376&sid=search
Tênis Masculino E Feminino St Runner V4 Mesh Puma Cool Dark Gray-puma White-puma Black Liso 43 Br,PUMA,3,5,4.8,509.0,379.0,https://http2.mlstatic.com/D_Q_NP_2X_807818-MLA83282938296_042025-E.webp,https://www.mercadolivre.com.br/tnis-masculino-e-feminino-st-runner-v4-mesh-puma/p/MLB47749622#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB6032316106&sid=search
Tênis Casual Puma Shuffle Masculino E Feminino Puma White-puma White-peacoat-puma Team Geométrico 42 Br,PUMA,4,100,4.8,457.0,299.0,https://http2.mlstatic.com/D_Q_NP_2X_944974-MLA83477168313_042025-E.webp,https://www.mercadolivre.com.br/tnis-casual-puma-shuffle-masculino-e-feminino/p/MLB45721448#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB5990380358&sid=search
Tênis Masculino Esportivo Recovery Fila Preto/azul/laranja 39 Br,FILA,5,100,4.7,340.0,306.0,https://http2.mlstatic.com/D_Q_NP_2X_780047-MLA99936967365_112025-E.webp,https://www.mercadolivre.com.br/tnis-masculino-esportivo-recovery-fila/p/MLB27960872#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB4400785732&sid=search
Tênis Casual Masculino Court adidas Core Black Liso 41 Br,ADIDAS,6,5,4.9,299.0,256.0,https://http2.mlstatic.com/D_Q_NP_2X_657893-MLA99570923972_122025-E.webp,https://www.mercadolivre.com.br/tnis-casual-masculino-court-adidas/p/MLB56496646#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB4271476421&sid=search
Colete Salva Vida Infantil Criança Flutuar 15 20 30 40kg Cor Rosa Tamanho 20kg,JOGÁ,7,50,4.7,,78.0,https://http2.mlstatic.com/D_Q_NP_2X_896575-MLA97354674183_112025-E.webp,https://www.mercadolivre.com.br/colete-salva-vida-infantil-crianca-flutuar-15-20-30-40kg-cor-rosa-tamanho-20kg/p/MLB61736470#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB4290244763&sid=search
Bicicleta 29 Ksw Xlt100 9v Freio Hidráulico Trava K7 11/40 Cor Laranja Tamanho Do Quadro 17,KSW,8,2,4.5,1379.0,1241.0,https://http2.mlstatic.com/D_Q_NP_2X_600173-MLA96990134150_112025-E.webp,https://www.mercadolivre.com.br/bicicleta-29-ksw-xlt100-9v-freio-hidraulico-trava-k7-1140-cor-laranja-tamanho-do-quadro-17/p/MLB61768340#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB5909325260&sid=search
Chuteira Infantil Futsal Rx Locker Y-3 Penalty Turquesa/lilás/preto 28 Br,PENALTY,9,25,4.9,,131.0,https://http2.mlstatic.com/D_Q_NP_2X_937706-MLA100081713847_122025-E.webp,https://www.mercadolivre.com.br/chuteira-infantil-futsal-rx-locker-y-3-penalty/p/MLB46405664#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB5420019080&sid=search
Bicicleta Aro 29 Ksw Alumínio 24 Vel Freio A Disco Suspensão Cor Branco Tamanho Do Quadro 19,OGM BIKE,10,25,3.6,1999.0,890.0,https://http2.mlstatic.com/D_Q_NP_2X_716360-MLA99882220573_112025-E.webp,https://www.mercadolivre.com.br/bicicleta-aro-29-ksw-aluminio-24-vel-freio-a-disco-suspenso-cor-branco-tamanho-do-quadro-19/p/MLB62663990#polycard_client=search_best-seller&tracking_id=0f05b771-9ccf-4777-82b6-2708118fe2e2&wid=MLB5985402384&sid=search
