produto,categoria,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link,data_coleta
"Celular Samsung Galaxy A16, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Verde Claro",celular,Não Informado,1,10,4.9,1399.0,936.0,https://http2.mlstatic.com/D_Q_NP_2X_804684-MLA99701306942_122025-E.webp,https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-128gb-4gb-ram-cmera-de-ate-50mp-tela-67-nfc-ip54-bateria-5000-mah-verde-claro/p/MLB44113911#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5656397610&sid=search,2026-01-13
Smartphone Xiaomi Redmi 15c 4g Br 4+4gb Ramvirtual + 256gb Preto,celular,Não Informado,2,500,4.8,,770.0,https://http2.mlstatic.com/D_Q_NP_2X_883743-MLA99507281014_112025-E.webp,https://www.mercadolivre.com.br/smartphone-xiaomi-redmi-15c-4g-br-44gb-ramvirtual-256gb-preto/p/MLB60395550#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB4417631071&sid=search,2026-01-13
"Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Preto",celular,Não Informado,3,10,4.9,799.0,643.0,https://http2.mlstatic.com/D_Q_NP_2X_678247-MLA99491753898_112025-E.webp,https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-128gb-4gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-preto/p/MLB55034955#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5859349564&sid=search,2026-01-13
Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro,celular,Não Informado,4,50,4.8,1099.0,754.0,https://http2.mlstatic.com/D_Q_NP_2X_970543-MLA100008320341_122025-E.webp,https://www.mercadolivre.com.br/smartphone-motorola-moto-g15-128gb-12gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-e-night-vision-bateria-de-5200-mah-tela-fhd-67-com-superbrilho-nfc-azul-claro/p/MLB46056585#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB3975698675&sid=search,2026-01-13
Smartphone Motorola Moto G05 - 128gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.7 Com Superbrilho - Verde,celular,Não Informado,5,100,4.9,,798.0,https://http2.mlstatic.com/D_Q_NP_2X_980236-MLA99958287023_112025-E.webp,https://www.mercadolivre.com.br/smartphone-motorola-moto-g05-128gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-bateria-de-5200-mah-tela-67-com-superbrilho-verde/p/MLB58487369#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5914820956&sid=search,2026-01-13
Smartphone Motorola Moto G35 5g - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Cinza,celular,Não Informado,6,50,4.8,1399.0,1149.0,https://http2.mlstatic.com/D_Q_NP_2X_743327-MLA99452274448_112025-E.webp,https://www.mercadolivre.com.br/smartphone-motorola-moto-g35-5g-256gb-12gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-nfc-tela-67-com-superbrilho-cinza/p/MLB41998152#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5335462386&sid=search,2026-01-13
Celular Samsung Galaxy A56 5g 256gb 8gb Ram Verde,celular,Não Informado,7,5,4.9,3499.0,2196.0,https://http2.mlstatic.com/D_Q_NP_2X_956669-MLA100187157363_122025-E.webp,https://www.mercadolivre.com.br/celular-samsung-galaxy-a56-5g-256gb-8gb-ram-verde/p/MLB47113930#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5317730776&sid=search,2026-01-13
Xiaomi Poco C75 256gb 8gb Ram C85 + Top Cor Violeta,celular,Não Informado,8,100,4.8,,1109.0,https://http2.mlstatic.com/D_Q_NP_2X_972204-MLA97985195880_112025-E.webp,https://www.mercadolivre.com.br/xiaomi-poco-c75-256gb-8gb-ram-c85-top-cor-violeta/p/MLB62192979#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5922196014&sid=search,2026-01-13
Smartphone Motorola Moto G56 5g - 256gb 24gb (8gb Ram+16gb Ram Boost) E 50mp Sony Lytia 600 Ai Camera Ultrarresistencia Militar Ip68 + Ip69 - Cinza,celular,Não Informado,9,100,4.9,,1585.0,https://http2.mlstatic.com/D_Q_NP_2X_918709-MLA100661953892_122025-E.webp,https://www.mercadolivre.com.br/smartphone-motorola-moto-g56-5g-256gb-24gb-8gb-ram16gb-ram-boost-e-50mp-sony-lytia-600-ai-camera-ultrarresistencia-militar-ip68-ip69-cinza/p/MLB63093370#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB4412638899&sid=search,2026-01-13
Celular Smartphone Realme Note 60 Dual Sim 128gb 4gb Ram Cor Preto,celular,Não Informado,10,1000,4.8,,749.0,https://http2.mlstatic.com/D_Q_NP_2X_603051-MLA97747870264_112025-E.webp,https://www.mercadolivre.com.br/celular-smartphone-realme-note-60-dual-sim-128gb-4gb-ram-cor-preto/p/MLB62108956#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5983712892&sid=search,2026-01-13
Apple iPhone 16 (128 Gb) - Branco - Distribuidor Autorizado,celular,Não Informado,11,10,4.9,8650.0,4800.0,https://http2.mlstatic.com/D_Q_NP_2X_809936-MLA96419773842_102025-E.webp,https://www.mercadolivre.com.br/apple-iphone-16-128-gb-branco-distribuidor-autorizado/p/MLB1040287791#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5120584956&sid=search,2026-01-13
Apple iPhone 15 (128 Gb) - Verde - Distribuidor Autorizado,celular,Não Informado,12,5,4.9,7208.0,3996.0,https://http2.mlstatic.com/D_Q_NP_2X_666806-MLA95495408288_102025-E.webp,https://www.mercadolivre.com.br/apple-iphone-15-128-gb-verde-distribuidor-autorizado/p/MLB1027172671#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB3582710843&sid=search,2026-01-13
Apple iPhone 13 (256 Gb) - Rosa,celular,Não Informado,13,100,4.6,,10000.0,https://http2.mlstatic.com/D_Q_NP_2X_789825-MLA96101741653_102025-E.webp,https://www.mercadolivre.com.br/apple-iphone-13-256-gb-rosa/p/MLB18500850#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB3637505935&sid=search,2026-01-13
Xiaomi Redmi 14c 256gb 8gb Ram + Capa Pelicula Fone Cor Roxo,celular,Não Informado,14,100,4.6,,1199.0,https://http2.mlstatic.com/D_Q_NP_2X_924006-MLA96833023353_102025-E.webp,https://www.mercadolivre.com.br/xiaomi-redmi-14c-256gb-8gb-ram-capa-pelicula-fone-cor-roxo/p/MLB61494637#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5940997580&sid=search,2026-01-13
Celular Xiaomi Redmi Note 14 6gb+ 128gb Sand Gold Dourado,celular,Não Informado,15,100,4.8,,1399.0,https://http2.mlstatic.com/D_Q_NP_2X_866512-MLA100042996883_122025-E.webp,https://www.mercadolivre.com.br/celular-xiaomi-redmi-note-14-6gb-128gb-sand-gold/p/MLB55009777#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB6156557000&sid=search,2026-01-13
Smartphone Moto G86 5g 512gb Lilás Motorola,celular,Não Informado,16,1000,4.9,2999.0,2098.0,https://http2.mlstatic.com/D_Q_NP_2X_610845-MLA100007418929_122025-E.webp,https://www.mercadolivre.com.br/smartphone-moto-g86-5g-512gb-lilas-motorola/p/MLB57856560#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB5744075580&sid=search,2026-01-13
Xiaomi Redmi 15 12gb Ram 128gb Dual Sim 50mp Fm Impressão Digital Dimm Preta Preto,celular,Não Informado,17,100,4.9,,1299.0,https://http2.mlstatic.com/D_Q_NP_2X_916209-MLA96870005941_102025-E.webp,https://www.mercadolivre.com.br/xiaomi-redmi-15-12gb-ram-128gb-dual-sim-50mp-fm-impresso-digital-dimm-preta/p/MLB54103419#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB4387834473&sid=search,2026-01-13
Smartphone Moto E13 32gb Tela 6.5'' 2gb Ram Grafite Motorola,celular,Não Informado,18,10,4.7,,561.0,https://http2.mlstatic.com/D_Q_NP_2X_935934-MLA95659303932_102025-E.webp,https://www.mercadolivre.com.br/smartphone-moto-e13-32gb-tela-65-2gb-ram-grafite-motorola/p/MLB23062109#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB4300838705&sid=search,2026-01-13
Xiaomi Redmi 13c Dual Sim 128gb Clover Green 4gb Ram,celular,Não Informado,19,10,4.6,929.0,690.0,https://http2.mlstatic.com/D_Q_NP_2X_643382-MLA99384748038_112025-E.webp,https://www.mercadolivre.com.br/xiaomi-redmi-13c-dual-sim-128gb-clover-green-4gb-ram/p/MLB28131663#polycard_client=search_best-seller&tracking_id=87ae4bc2-5c5f-4919-987f-0afe0527af8c&wid=MLB4154930545&sid=search,2026-01-13
