produto,categoria,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link,data_coleta
Notebook Dell Inspiron I15-i1300-a15p Core 3 8gb 512gb W11 Preto,computador,Não Informado,1,5,4.9,2999.0,2807.0,https://http2.mlstatic.com/D_Q_NP_2X_678582-MLA99572282914_122025-E.webp,https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i1300-a15p-core-3-8gb-512gb-w11-preto/p/MLB52728444#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5512463698&sid=search,2026-01-13
Notebook Gamer Acer Nitro V15 Anv15-52-737p Intel® Core I7-13620h 13ªg 16gb Ram 512gb Ssd Rtx4050 Fhd 15.6,computador,Não Informado,2,1000,5.0,8999.0,5599.0,https://http2.mlstatic.com/D_Q_NP_2X_840134-MLA99989589639_112025-E.webp,https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v15-anv15-52-737p-intel-core-i7-13620h-13g-16gb-ram-512gb-ssd-rtx4050-fhd-156/p/MLB54176209#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4197813071&sid=search,2026-01-13
Notebook Inspiron I15-i1300-a80p I7 16gb 1tb W11 Preto Dell,computador,Não Informado,3,1000,4.8,5398.0,4551.0,https://http2.mlstatic.com/D_Q_NP_2X_601734-MLA99992564339_112025-E.webp,https://www.mercadolivre.com.br/notebook-inspiron-i15-i1300-a80p-i7-16gb-1tb-w11-preto-dell/p/MLB52641588#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4132228593&sid=search,2026-01-13
"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",computador,Não Informado,4,5,4.9,5399.0,2580.0,https://http2.mlstatic.com/D_Q_NP_2X_721783-MLA99507462046_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-15-e1504fa-amd-ryzen-5-7520u-16gb-ram-512gb-ssd-linux-keepos-tela-156-led-fhd-black-nj1288/p/MLB43417665#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB3914161563&sid=search,2026-01-13
Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb Ram 512gb Ssd Wi-fi 6 Tela 16 Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite Upgrade De Memória Ram E Ssd,computador,Não Informado,5,1000,4.8,4999.0,3399.0,https://http2.mlstatic.com/D_Q_NP_2X_954850-MLA99514927694_112025-E.webp,https://www.mercadolivre.com.br/notebook-vaio-fe16-amd-ryzen-7-5825u-linux-16gb-ram-512gb-ssd-wi-fi-6-tela-16-ips-wuxga-antirreflexo-cinza-grafite-vjfe69f11xb0121h-permite-upgrade-de-memoria-ram-e-ssd/p/MLB46470846#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5873998464&sid=search,2026-01-13
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746",computador,Não Informado,6,1000,4.9,,5299.0,https://http2.mlstatic.com/D_Q_NP_2X_889897-MLA99459111150_112025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-16gb-ram-512gb-ssd-linux-keepos-intel-iris-xe-tela-156-led-fhd-blue-nj1746/p/MLB49085410#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5646366312&sid=search,2026-01-13
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1741",computador,Não Informado,7,1000,4.9,5399.0,2455.0,https://http2.mlstatic.com/D_Q_NP_2X_874192-MLA99597035710_122025-E.webp,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-8gb-ram-512gb-ssd-linux-keepos-intel-iris-xe-tela-156-led-fhd-silver-nj1741/p/MLB50363568#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4073075993&sid=search,2026-01-13
"Notebook Samsung Galaxy Book4 Intel® Core I5-1335u (1.3 Ghz, Até 4.6ghz, 12 Mb L3 Cache), Windows 11 Home, 8gb, 512gb Ssd, Iris Xe, 15.6'' Full Hd Led, 1.55kg",computador,Não Informado,8,10,4.9,3999.0,3799.0,https://http2.mlstatic.com/D_Q_NP_2X_889835-MLA100025553533_122025-E.webp,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-core-i5-1335u-13-ghz-ate-46ghz-12-mb-l3-cache-windows-11-home-8gb-512gb-ssd-iris-xe-156-full-hd-led-155kg/p/MLB37044038#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB4736120696&sid=search,2026-01-13
Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,computador,Não Informado,9,10,4.7,1999.0,1454.0,https://http2.mlstatic.com/D_Q_NP_2X_951532-MLA99906431389_112025-E.webp,https://www.mercadolivre.com.br/notebook-positivo-vision-c15-lumina-bar-celeron-4gb-128gb-emmc-tela-15-hd-antirreflexo-windows-11-tecla-link-cinza/p/MLB26133662#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB3932069010&sid=search,2026-01-13
Notebook Lenovo Intel Core I5 8350u 8gb Ddr4 Ssd M.2 256gb - Bom (Recondicionado),computador,Não Informado,10,50,4.7,,1749.0,https://http2.mlstatic.com/D_Q_NP_2X_828058-MLA54983297923_052023-E.webp,https://www.mercadolivre.com.br/notebook-lenovo-intel-core-i5-8350u-8gb-ddr4-ssd-m2-256gb-bom-recondicionado/p/MLB2010654535#polycard_client=search_best-seller&tracking_id=58005052-cf6a-438b-868f-4c5f216e8558&wid=MLB5387855346&sid=search,2026-01-13
