produto,categoria,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link,data_coleta
"Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-ap 30 Cm Preto 220v Azul-petróleo Polipropileno 6",eletrodomestico,Não Informado,1,10,4.7,,144.0,https://http2.mlstatic.com/D_Q_NP_2X_994831-MLA99700690020_122025-E.webp,https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-ap/p/MLB18932161#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB5277602602&sid=search,2026-01-13
Liquidificador Turbo Power Mondial 550w L-99 Wb Branco/preto 220v,eletrodomestico,Não Informado,2,100,4.7,,152.0,https://http2.mlstatic.com/D_Q_NP_2X_635020-MLA99958403225_112025-E.webp,https://www.mercadolivre.com.br/liquidificador-turbo-power-mondial-550w-l-99-wb/p/MLB15699909#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB4305287305&sid=search,2026-01-13
Ventilador Coluna Vermelho 50cm Pedestal Turbo Ventisol Cor Da Estrutura Preto 50 Cm 60 Hz 127v Plástico 6,eletrodomestico,Não Informado,3,1000,4.7,,288.0,https://http2.mlstatic.com/D_Q_NP_2X_798537-MLA99452127270_112025-E.webp,https://www.mercadolivre.com.br/ventilador-coluna-vermelho-50cm-pedestal-turbo-ventisol-cor-da-estrutura-preto/p/MLB15284710#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB1663765259&sid=search,2026-01-13
"Electrolux Efficient Esi10 A Vapor E Ferro Seco, Cor Azul 220v",eletrodomestico,Não Informado,4,10,4.8,166.0,89.0,https://http2.mlstatic.com/D_Q_NP_2X_875816-MLA99972137443_112025-E.webp,https://www.mercadolivre.com.br/electrolux-efficient-esi10-a-vapor-e-ferro-seco-cor-azul/p/MLB25396633#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB3637540939&sid=search,2026-01-13
"Ventilador De Teto Ventisol Fênix E-27 Branco 130w Com 3 Pás De Plástico, 960 Mm De Diâmetro",eletrodomestico,Não Informado,5,100,4.5,,249.0,https://http2.mlstatic.com/D_Q_NP_2X_955140-MLA96134764725_102025-E.webp,https://www.mercadolivre.com.br/ventilador-de-teto-ventisol-fnix-e-27-branco-130w-com-3-pas-de-plastico-960-mm-de-dimetro/p/MLB6080711#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB2196746713&sid=search,2026-01-13
Ventilador De Parede E Mesa Wap Flow Turbo Com 8 Pás 3 Velocidades,eletrodomestico,Não Informado,6,50,4.7,,204.0,https://http2.mlstatic.com/D_Q_NP_2X_661279-MLA95712519194_102025-E.webp,https://www.mercadolivre.com.br/ventilador-de-parede-e-mesa-wap-flow-turbo-com-8-pas-3-velocidades/p/MLB23370533#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB3492646637&sid=search,2026-01-13
Climatizador Fan Portátil Umidificador Fyf Branco,eletrodomestico,Não Informado,7,5,4.4,,44.0,https://http2.mlstatic.com/D_Q_NP_2X_683554-MLA100091785797_122025-E.webp,https://www.mercadolivre.com.br/climatizador-fan-portatil-umidificador-fyf-branco/p/MLB27965580#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB4415816351&sid=search,2026-01-13
6x Lâmpada Halopin Led G9 5w 52 Leds Para Lustres E Arandela Cor Da Luz Branco-quente Goldensky,eletrodomestico,GOLDENSKY,8,10,4.8,39.0,29.0,https://http2.mlstatic.com/D_Q_NP_2X_650277-MLA100076206303_122025-E.webp,https://www.mercadolivre.com.br/6x-lmpada-halopin-led-g9-5w-52-leds-para-lustres-e-arandela-cor-da-luz-branco-quente-goldensky/p/MLB27370056#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB3859088447&sid=search,2026-01-13
Fritadeira Sem Óleo Air Fryer 4l Mondial 1500w Afn-40-bft Preto 220v,eletrodomestico,Não Informado,9,100,4.9,,229.0,https://http2.mlstatic.com/D_Q_NP_2X_866262-MLA99776946004_122025-E.webp,https://www.mercadolivre.com.br/fritadeira-sem-oleo-air-fryer-4l-mondial-1500w-afn-40-bft/p/MLB23999810#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB4369205265&sid=search,2026-01-13
Fritadeira Elétrica Afon-12l-bg Forno Oven 12 Litros Preto Mondial 127v,eletrodomestico,Não Informado,10,50,4.9,,899.0,https://http2.mlstatic.com/D_Q_NP_2X_720182-MLA100247452907_122025-E.webp,https://www.mercadolivre.com.br/fritadeira-eletrica-afon-12l-bg-forno-oven-12-litros-preto-mondial/p/MLB45070708#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB3941733035&sid=search,2026-01-13
Ventilador Arno X-treme 9 De Mesa 40cm Ve90 Cor Preto Pás Azul,eletrodomestico,Não Informado,11,5,4.8,459.0,259.0,https://http2.mlstatic.com/D_Q_NP_2X_620545-MLA99990989587_112025-E.webp,https://www.mercadolivre.com.br/ventilador-arno-x-treme-9-de-mesa-40cm-ve90-cor-preto-pas-azul/p/MLB36448357#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB4650852894&sid=search,2026-01-13
Aspirador De Pó E Água Wap Gtw 10 Compacto 1400w 10 Litros Amarelo/preto,eletrodomestico,Não Informado,12,100,4.8,399.0,239.0,https://http2.mlstatic.com/D_Q_NP_2X_944970-MLA99949674111_112025-E.webp,https://www.mercadolivre.com.br/aspirador-de-po-e-agua-wap-gtw-10-compacto-1400w-10-litros-amarelopreto/p/MLB8923630#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB2631867798&sid=search,2026-01-13
"Aspirador De Pó Vertical E Portátil Wap High Speed Plus 1350w 1,2 Litros Filtro Hepa Tecnologia Cyclone 3 Em 1",eletrodomestico,Não Informado,13,10,4.7,,174.0,https://http2.mlstatic.com/D_Q_NP_2X_988762-MLA99599448802_122025-E.webp,https://www.mercadolivre.com.br/aspirador-de-po-vertical-e-portatil-wap-high-speed-plus-1350w-12-litros-filtro-hepa-tecnologia-cyclone-3-em-1/p/MLB23414010#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB5261503116&sid=search,2026-01-13
Liquidificador Easy Power Mondial 550w L-550-w,eletrodomestico,Não Informado,14,10,4.7,132.0,75.0,https://http2.mlstatic.com/D_Q_NP_2X_678504-MLA99584243768_122025-E.webp,https://www.mercadolivre.com.br/liquidificador-easy-power-mondial-550w-l-550-w/p/MLB17929481#polycard_client=search_best-seller&tracking_id=4362fa06-2c77-4a01-bfdb-f049fd6abe3d&wid=MLB1897115477&sid=search,2026-01-13
