produto,categoria,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link,data_coleta
Linha Multifilamento Aostsoa 300m 0.16mm Multicolor 5kg Resistente A Uv,esporte,AOSTSOA,1,50.0,4.8,68.0,41.0,https://http2.mlstatic.com/D_Q_NP_2X_879778-MLA99893906598_122025-E.webp,https://www.mercadolivre.com.br/linha-multifilamento-aostsoa-300m-016mm-multicolor-5kg-resistente-a-uv/p/MLB54125527#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB4273931279&sid=search,2026-01-13
Tênis Masculino Progress Lite Fila Prata/preto/azul Liso 41 Br,esporte,FILA,2,500.0,4.8,343.0,277.0,https://http2.mlstatic.com/D_Q_NP_2X_675457-MLA83489407665_042025-E.webp,https://www.mercadolivre.com.br/tnis-masculino-progress-lite-fila/p/MLB45426333#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB5986103060&sid=search,2026-01-13
Chuteira Infantil Futsal Matis Xxi Penalty Laranja 28 Br,esporte,PENALTY,3,,,,159.0,https://http2.mlstatic.com/D_Q_NP_2X_995632-MLA99981601395_112025-E.webp,https://www.mercadolivre.com.br/chuteira-infantil-futsal-matis-xxi-penalty/p/MLB47530234#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB5716003326&sid=search,2026-01-13
Bandagem Aktivetape 5cmx5m Lilás Kit 2 Rolos Algodão Hipoalergênico Resistente Água,esporte,AKTIVETAPE,4,500.0,4.8,78.0,55.0,https://http2.mlstatic.com/D_Q_NP_2X_920747-MLA99938071425_112025-E.webp,https://www.mercadolivre.com.br/bandagem-aktivetape-5cmx5m-lilas-kit-2-rolos-algodo-hipoalergnico-resistente-agua/p/MLB34292817#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB3624457471&sid=search,2026-01-13
Tênis Masculino Eros Olympikus Branco Liso 44 Br,esporte,OLYMPIKUS,5,100.0,4.8,269.0,198.0,https://http2.mlstatic.com/D_Q_NP_2X_737263-MLA100005495165_112025-E.webp,https://www.mercadolivre.com.br/tnis-masculino-eros-olympikus/p/MLB29034116#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB5926973122&sid=search,2026-01-13
Tênis Masculino Esportivo Recovery Fila Black/white/gray Texturizado 41 Br,esporte,FILA,6,500.0,4.7,399.0,323.0,https://http2.mlstatic.com/D_Q_NP_2X_882952-MLA99454629072_112025-E.webp,https://www.mercadolivre.com.br/tnis-masculino-esportivo-recovery-fila/p/MLB28117158#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB3736934453&sid=search,2026-01-13
Creatina Monohidratada 1kg Soldiers Nutrition 100% Pura Importada Alta Performance Músculo Treino,esporte,SOLDIERS NUTRITION,7,250.0,4.8,158.0,149.0,https://http2.mlstatic.com/D_Q_NP_2X_736821-MLA99962382095_112025-E.webp,https://www.mercadolivre.com.br/creatina-monohidratada-1kg-soldiers-nutrition-100-pura-importada-alta-performance-musculo-treino/p/MLB18725310#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB5517863134&sid=search,2026-01-13
Chuteira Infantil Society Rx Locker Y3 Penalty Marinho-branco-coral 36 Br,esporte,PENALTY,8,50.0,4.9,283.0,127.0,https://http2.mlstatic.com/D_Q_NP_2X_663479-MLA100042398667_122025-E.webp,https://www.mercadolivre.com.br/chuteira-infantil-society-rx-locker-y3-penalty/p/MLB45426831#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB3976849333&sid=search,2026-01-13
Bicicleta Aro 29 Gts Alumínio Rdx 24v Freio A Disco Cor Branco/preto Tamanho Do Quadro 19,esporte,GTS,9,500.0,4.5,1189.0,810.0,https://http2.mlstatic.com/D_Q_NP_2X_936538-MLA99504070174_112025-E.webp,https://www.mercadolivre.com.br/bicicleta-aro-29-gts-aluminio-rdx-24v-freio-a-disco-cor-brancopreto-tamanho-do-quadro-19/p/MLB46448058#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB5300250366&sid=search,2026-01-13
Kit Boxe Muay Thai Bks Profissional Luva + Bandagem + Bucal Cor Rosa Tamanho 12oz,esporte,BKS,10,50.0,4.8,,132.0,https://http2.mlstatic.com/D_Q_NP_2X_734537-MLA99476773064_112025-E.webp,https://www.mercadolivre.com.br/kit-boxe-muay-thai-bks-profissional-luva-bandagem-bucal-cor-rosa-tamanho-12oz/p/MLB56081357#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB4412981355&sid=search,2026-01-13
Tênis Feminino Progress Lite Fila Rose Claro/cinza Gelo/branco Liso 34 Br,esporte,FILA,11,25.0,4.8,357.0,265.0,https://http2.mlstatic.com/D_Q_NP_2X_765918-MLA99959924891_112025-E.webp,https://www.mercadolivre.com.br/tnis-feminino-progress-lite-fila/p/MLB46143983#polycard_client=search_best-seller&tracking_id=46893fd9-2b67-4aa1-a518-ec95b47902f1&wid=MLB4161917955&sid=search,2026-01-13
