produto,categoria,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link,data_coleta
Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Davely Preto,informatica,Não Informado,1,100,4.8,29.0,23.0,https://http2.mlstatic.com/D_Q_NP_2X_629898-MLA95373568293_102025-E.webp,https://www.mercadolivre.com.br/mouse-sem-fio-recarregavel-wireless-optico-led-rgb-ergonmico-sem-fio-para-pc-desktop-notebook-tablet-smartphone-davely-preto/p/MLB48929373#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB4057383363&sid=search,2026-01-13
Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Hall Effect Cor Verde,informatica,Não Informado,2,500,4.9,249.0,197.0,https://http2.mlstatic.com/D_Q_NP_2X_869028-MLA99935270513_112025-E.webp,https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-hall-effect-cor-verde/p/MLB45471942#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB5368791788&sid=search,2026-01-13
Mousepad Grande Azul Marinho 70x30 Deskpad Couro Antiderrapante Mesa Computador Notebook Eddias,informatica,Não Informado,3,1000,4.8,79.0,38.0,https://http2.mlstatic.com/D_Q_NP_2X_705499-MLA100085082575_122025-E.webp,https://www.mercadolivre.com.br/mousepad-grande-azul-marinho-70x30-deskpad-couro-antiderrapante-mesa-computador-notebook-eddias/p/MLB23228593#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB3656176872&sid=search,2026-01-13
Sony Playstation Store Gift Card R$ 60 (digital),informatica,Não Informado,4,10,5.0,,60.0,https://http2.mlstatic.com/D_Q_NP_2X_752606-MLA98250256971_112025-E.webp,https://www.mercadolivre.com.br/sony-playstation-store-gift-card-r-60-digital/p/MLB50292194#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB5408543360&sid=search,2026-01-13
Papel Fotográfico Brilhante A4 180gr X 20 Folhas Ja-1043 Jojo White Color,informatica,JOJO,5,5,4.8,,26.0,https://http2.mlstatic.com/D_Q_NP_2X_608269-MLA99633340144_122025-E.webp,https://www.mercadolivre.com.br/papel-fotografico-brilhante-a4-180gr-x-20-folhas-ja-1043-jojo-white-color/p/MLB44436460#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB4260165835&sid=search,2026-01-13
Headset Qcy H3 Anc Adaptativo Bluetooth 5.3 Multiponto 60h Cor Branco,informatica,Não Informado,6,10,4.9,360.0,298.0,https://http2.mlstatic.com/D_Q_NP_2X_629619-MLA99451436592_112025-E.webp,https://www.mercadolivre.com.br/headset-qcy-h3-anc-adaptativo-bluetooth-53-multiponto-60h-cor-branco/p/MLB29582018#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB4013673969&sid=search,2026-01-13
Amazon Echo Pop Com Assistente Virtual Alexa Cor Roxa C2h4r9 Lilás,informatica,Não Informado,7,1000,4.9,,327.0,https://http2.mlstatic.com/D_Q_NP_2X_817902-MLA97665472590_112025-E.webp,https://www.mercadolivre.com.br/amazon-echo-pop-com-assistente-virtual-alexa-cor-roxa-c2h4r9/p/MLB44235828#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB4321042139&sid=search,2026-01-13
"Filamento Elegoo Rapid Pla+ 2kg 1,75mm Mega Velocidade 600ms Cor Verde",informatica,Não Informado,8,5,4.9,,299.0,https://http2.mlstatic.com/D_Q_NP_2X_889103-MLA98821246724_112025-E.webp,https://www.mercadolivre.com.br/filamento-elegoo-rapid-pla-2kg-175mm-mega-velocidade-600ms-cor-verde/p/MLB62478556#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB4323498749&sid=search,2026-01-13
Papel Fotográfico Glossy A4 120g 300 Folhas Masterprint Branco,informatica,MASTERPRINT,9,50,4.9,118.0,115.0,https://http2.mlstatic.com/D_Q_NP_2X_717709-MLU77803653219_072024-E.webp,https://www.mercadolivre.com.br/papel-fotografico-glossy-a4-120g-300-folhas-masterprint-branco/p/MLB38457931#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB5363872072&sid=search,2026-01-13
"Filamento 3d Tricolor Pla Silk 1,75 Mm, 1 Kg, Impressora Conjure, Cor: Vermelho Brilhante, Azul, Verde",informatica,Não Informado,10,1,4.9,142.0,129.0,https://http2.mlstatic.com/D_Q_NP_2X_664971-MLA96320597266_102025-E.webp,https://www.mercadolivre.com.br/filamento-3d-tricolor-pla-silk-175-mm-1-kg-impressora-conjure-cor-vermelho-brilhante-azul-verde/p/MLB61454824#polycard_client=search_best-seller&tracking_id=417e68e6-78e8-4393-b15f-151022a83123&wid=MLB4405847105&sid=search,2026-01-13
