produto,categoria,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link,data_coleta
Ea Esports Fc 26 Fifa 2026 - Ps5 Mídia Física Português Br,video_game,Não Informado,1,5.0,4.9,,319.0,https://http2.mlstatic.com/D_Q_NP_2X_623793-MLA100064778643_122025-E.webp,https://www.mercadolivre.com.br/ea-esports-fc-26-fifa-2026-ps5-midia-fisica-portugus-br/p/MLB54079751#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB5947313376&sid=search,2026-01-13
Immortals Fenyx Rising Standard Edition (físico),video_game,Não Informado,2,1000.0,4.9,,129.0,https://http2.mlstatic.com/D_Q_NP_2X_679473-MLA99503054906_112025-E.webp,https://www.mercadolivre.com.br/immortals-fenyx-rising-standard-edition-fisico/p/MLB16592357#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB4653490748&sid=search,2026-01-13
Vídeo Game Mini Game De Bolso Portátil Com Jogos Clássico Cobra Tétris Cor Colorido,video_game,Não Informado,3,50.0,4.3,,39.0,https://http2.mlstatic.com/D_Q_NP_2X_834917-MLA99597061306_122025-E.webp,https://www.mercadolivre.com.br/video-game-mini-game-de-bolso-portatil-com-jogos-classico-cobra-tetris-cor-colorido/p/MLB51325742#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB4240859569&sid=search,2026-01-13
Resident Evil 4 Remake Standard Edition Playstation 4 (físico),video_game,Não Informado,4,10.0,4.9,,160.0,https://http2.mlstatic.com/D_Q_NP_2X_662463-MLA99460667398_112025-E.webp,https://www.mercadolivre.com.br/resident-evil-4-remake-standard-edition-playstation-4-fisico/p/MLB21929014#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB4357650159&sid=search,2026-01-13
Nintendo Switch Super Mario Party Jamboree Midia Fisica,video_game,Não Informado,5,5.0,5.0,419.0,324.0,https://http2.mlstatic.com/D_Q_NP_2X_781647-MLA99866336307_112025-E.webp,https://www.mercadolivre.com.br/nintendo-switch-super-mario-party-jamboree-midia-fisica/p/MLB41138489#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB4258998695&sid=search,2026-01-13
Fifa Ea Sports Fc26 Ps4 Fisico Standard,video_game,Não Informado,6,1000.0,4.9,,294.0,https://http2.mlstatic.com/D_Q_NP_2X_860996-MLA99947456047_112025-E.webp,https://www.mercadolivre.com.br/fifa-ea-sports-fc26-ps4-fisico-standard/p/MLB54079776#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB4268128749&sid=search,2026-01-13
Donkey Kong Bananza Switch 2 Midia Fisica,video_game,Não Informado,7,,+500 vendidos,518.0,397.0,https://http2.mlstatic.com/D_Q_NP_2X_961587-MLB92683301524_092025-E.webp,https://www.mercadolivre.com.br/donkey-kong-bananza-switch-2-midia-fisica/up/MLBU3433640321#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB4216957791&sid=search,2026-01-13
Super Mario Galaxy + Super Mario Galaxy 2 - Nsw,video_game,Não Informado,8,1000.0,5.0,599.0,376.0,https://http2.mlstatic.com/D_Q_NP_2X_798042-MLA99508665430_112025-E.webp,https://www.mercadolivre.com.br/super-mario-galaxy-super-mario-galaxy-2-nsw/p/MLB58960505#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB4284171225&sid=search,2026-01-13
Clair Obscur Expedition 33 Ps5 Midia Fisica,video_game,Não Informado,9,1000.0,5.0,,449.0,https://http2.mlstatic.com/D_Q_NP_2X_752479-MLA103611634288_012026-E.webp,https://www.mercadolivre.com.br/clair-obscur-expedition-33-ps5-midia-fisica/p/MLB47290729#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB6039416466&sid=search,2026-01-13
Far Cry 6 Ps4 Físico,video_game,Não Informado,10,5.0,4.9,170.0,125.0,https://http2.mlstatic.com/D_Q_NP_2X_663260-MLA99487761698_112025-E.webp,https://www.mercadolivre.com.br/far-cry-6-ps4-fisico/p/MLB18500304#polycard_client=search_best-seller&tracking_id=1174e51a-89a2-4e38-909d-d01f870e85a5&wid=MLB2663525527&sid=search,2026-01-13
