produto,vendedor,classificacao,qtd_vendas,avaliacao,preco_original,preco_final,imagem,link
Ea Esports Fc 26 Fifa 2026 - Ps5 Mídia Física Português Br,Não Informado,1,5,4.9,529.0,305.0,https://http2.mlstatic.com/D_Q_NP_2X_623793-MLA100064778643_122025-E.webp,https://www.mercadolivre.com.br/ea-esports-fc-26-fifa-2026-ps5-midia-fisica-portugus-br/p/MLB54079751#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB4179604005&sid=search
Jogo Ghost Of Yotei Edição Standard,Não Informado,2,5,5.0,436.0,282.0,https://http2.mlstatic.com/D_Q_NP_2X_916519-MLA99483706066_112025-E.webp,https://www.mercadolivre.com.br/jogo-ghost-of-yotei-edico-standard/p/MLB48956943#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB4209410037&sid=search
Nintendo Switch Super Mario Party Jamboree Midia Fisica,Não Informado,3,5,5.0,430.0,339.0,https://http2.mlstatic.com/D_Q_NP_2X_781647-MLA99866336307_112025-E.webp,https://www.mercadolivre.com.br/nintendo-switch-super-mario-party-jamboree-midia-fisica/p/MLB41138489#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB4349935327&sid=search
Resident Evil 4 Remake Ps4 Edição Standard Físico Capcom,Não Informado,4,5,4.9,189.0,149.0,https://http2.mlstatic.com/D_Q_NP_2X_662463-MLA99460667398_112025-E.webp,https://www.mercadolivre.com.br/resident-evil-4-remake-ps4-edico-standard-fisico-capcom/p/MLB21929014#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB5018702978&sid=search
Pokemon Legends Z-a Switch Midia Fisica,Não Informado,5,5,4.9,466.0,319.0,https://http2.mlstatic.com/D_Q_NP_2X_983114-MLA99457962962_112025-E.webp,https://www.mercadolivre.com.br/pokemon-legends-z-a-switch-midia-fisica/p/MLB53220256#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB4265239023&sid=search
Battlefield 6 Playstation 5 - Ps5,Não Informado,6,1000,4.9,415.0,348.0,https://http2.mlstatic.com/D_Q_NP_2X_864093-MLA99939229689_112025-E.webp,https://www.mercadolivre.com.br/battlefield-6-playstation-5-ps5/p/MLB54407548#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB5727280106&sid=search
Metal Gear Solid Delta Snake Eater Tactical Ed. Ps5 Fisico,Não Informado,7,1000,5.0,506.0,258.0,https://http2.mlstatic.com/D_Q_NP_2X_633551-MLA99481324498_112025-E.webp,https://www.mercadolivre.com.br/metal-gear-solid-delta-snake-eater-tactical-ed-ps5-fisico/p/MLB51983787#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB5742445208&sid=search
Jogo God Of War Ragnarok Edição Física Playstation 5 Sony,Não Informado,8,10,4.9,,187.0,https://http2.mlstatic.com/D_Q_NP_2X_872352-MLA99938780187_112025-E.webp,https://www.mercadolivre.com.br/jogo-god-of-war-ragnarok-edico-fisica-playstation-5-sony/p/MLB19472097#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB4373624309&sid=search
Fifa Ea Sports Fc26 Ps4 Fisico Standard,Não Informado,9,1000,4.9,,319.0,https://http2.mlstatic.com/D_Q_NP_2X_860996-MLA99947456047_112025-E.webp,https://www.mercadolivre.com.br/fifa-ea-sports-fc26-ps4-fisico-standard/p/MLB54079776#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB5773526370&sid=search
Videogame Nintendo Switch Super Mario Bros. Wonder,Não Informado,10,10,5.0,372.0,278.0,https://http2.mlstatic.com/D_Q_NP_2X_751963-MLA99485331850_112025-E.webp,https://www.mercadolivre.com.br/videogame-nintendo-switch-super-mario-bros-wonder/p/MLB27826560#polycard_client=search_best-seller&tracking_id=fdce8253-9bf8-4b1c-891c-96731fc2d648&wid=MLB4091399985&sid=search
